%47 8 9 10 11
8-11:1 Which_of_these_leaders_was_a_recipient_of_a_gallantry_award_in_1987_by_a_state_government_for_saving_two_girls_from_drowning? Mamata_Banerjee Anandiben_Patel Vasundhara_Raje_Scindia Uma_Bharti B POL
8-11:2 The_wife_of_which_of_these_famous_sportspersons_was_once_captain_of_Indian_volleyball_team? KD_Jadav Milkha_Singh Dhyan_Chand Prakash_Padukone B SPO
8-11:3 Which_of_the_following_players_has_not_won_the_FIFA_Player_of_the_Year_title? Zinedine_Zidane Roberto_Baggio David_Beckham Marco_van_Basten C SPO
8-11:4 Who_was_the_manager_of_Manchester_United_when_the_Munich_Air_Disaster_took_place? Sir_Alex_Ferguson Sir_Matt_Busby Ron_Atkinson Jimmy_Murphy B SPO
8-11:5 Effective_from_May,_2014,_the_Europian_Union_imposed_a_temporary_ban_on_the_import_of_which_of_these_fruits_from_India? Banana Litchi Mango Pineapple C MISC
8-11:6 Where_did_Homi_Jehangir_Bhaba,the_principal_architect_of_India’s_nuclear_program,_die_in_a_plane_crash? Mont_Blanc Monte_Rosa Mount_Ararat Mount_Elbrus A HIS
8-11:7 Which_queen_did_Draupadi,_the_wife_of_the_Pandavas,_serve_in_the_guise_of_Saiandhri_for_one_year? Sanjana Satyavati Satyabhama Sudheshna D MY
8-11:8 Which_newspaper_once_kept_its_editorial_cloumn_blank_as_a_mark_of_protest_against_the_emergency_of_1975? Hindustan_Times The_Indian_Express The_Hindu The_Times_of_India B HIS
8-11:9 What_discovery_in_1823_is_credited_to_the_British_official_Robert_Bruce? Oil Tea Murga_Silk Jute B HIS
8-11:10 In_the_Mahabharata,_who_among_these_was_the_uncle_of_Ghototkach? Barbarika Jarashandha Hidimb Shikhandi C MY
8-11:11 Which_of_these_asuras_had_a_boon_that_only_a_son_of_Shiva_could_kill_him? Tarakasura Sunda Bhasmasura Mahabali A MY
8-11:12 Ruksar_Khatoon_is_the_final_documented_case_of_which_disease_in_India? Polio Small_Pox Hepatitis_A Measles A GK
8-11:13 With_whom_did_legendary_actress_and_dancee_Zohra_Sehgal_start_her_dance_career? Lacchu_Maharaj Shambhu_Maharaj Uday_Shankar Kelucharan_Mahapatra C ENT
8-11:14 By_what_name_do_we_know_the_guidelines_issued_by_the_supreme_court_of_India_to_deal_with_sexual_harassment? Shalini_guidelines SITA_guidelines WE_guidelines Vishakha_guidelines D POL
8-11:15 Which_of_these_advocates_has_held_the_post_of_solicitor_general_in_India? Mahesh_Jethmalani Abhishek_Singhvi Prashant_Bhushan Gopal_Subramanium D GK
8-11:16 Who_was_the_first_child_in_the_world_to_be_born_via_the_In_Vitro_Fertilization_or_IVF_method? Elizabeth_Carr Hilary_Koprowski Licia_Zarata Louise_Brown D SCI
8-11:17 In_which_of_these_states_have_both_father_and_daughter_served_as_chief_minister? Goa Assam Jammu_and_Kashmir Punjab A POL
8-11:18 Who_is_the_only_tennis_player_to_win_all_four_Grand_Slams_and_an_Olympics_Gold_in_the_same_year? Serena_Williams Pete_Sampras Steffi_Graf Roger_Federer C SPO
8-11:19 Which_historical_character_was_played_by_Hema_Malini_in_a_1983_film_by_Kamal_Amrohi? Razia_Sultan Rani_Lakshmi_Bai Noor_Jahan Mumtaz_Mahal A ENT
8-11:20 Guru_Shikhar_peak_is_the_highest_peak_of_which_mountain_range? Vindhya Satpura Nilgiri Aravali D GEO
8-11:21 Which_traveller’s_last_journey_was_to_the_kingdom_of_Mali? Fa_Hien Ibn_Batuta Megasthenes Marco_Polo B HIS
8-11:22 Who_was_the_first_bowler_to_take_a_hat-trick_in_T20_internationals? Saeed_Ajmal Lasith_Malinga Daryl_Tuffey Brett_Lee D SPO
